DOGE,499    nan,asdasd,"04/25/2021, 03:05:49"
DOGE,499    nan,asdasd,"04/25/2021, 03:05:54"
DOGE,499    nan,asdasd,"04/25/2021, 03:05:58"
DOGE,499    nan,asdasd,"04/25/2021, 03:06:02"
DOGE,499    nan,asdasd,"04/25/2021, 03:06:07"
DOGE,499    nan,asdasd,"04/25/2021, 03:06:12"
DOGE,499    nan,asdasd,"04/25/2021, 03:06:17"
DOGE,499    nan,asdasd,"04/25/2021, 03:06:21"
DOGE,499    nan,asdasd,"04/25/2021, 03:06:25"
DOGE,499    nan,asdasd,"04/25/2021, 03:06:45"
DOGE,499    nan,asdasd,"04/25/2021, 03:06:49"
DOGE,499    nan,asdasd,"04/25/2021, 03:06:54"
DOGE,499    nan,asdasd,"04/25/2021, 03:06:58"
DOGE,499    nan,asdasd,"04/25/2021, 03:07:03"
DOGE,499    nan,asdasd,"04/25/2021, 03:07:08"
DOGE,499    nan,asdasd,"04/25/2021, 03:07:50"
DOGE,499    nan,asdasd,"04/25/2021, 03:07:55"
DOGE,499    nan,asdasd,"04/25/2021, 03:07:59"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:05"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:11"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:16"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:20"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:25"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:30"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:34"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:38"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:42"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:46"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:50"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:54"
DOGE,499    nan,asdasd,"04/25/2021, 03:08:58"
DOGE,499    nan,asdasd,"04/25/2021, 03:09:02"
